"","episodeId","Totale_death","Sum_Noble","Popularity_Index","Profil","episodeTitle"
"1",1,33.9867549668874,80.6451612903226,56.6178405557787,1,"Winter Is Coming"
"2",2,13.2185430463576,83.8709677419355,55.715282212411,1,"The Kingsroad"
"3",3,10.5960264900662,67.741935483871,58.0211304917411,4,"Lord Snow"
"4",4,15.4966887417219,80.6451612903226,59.8899032547038,1,"Cripples, Bastards, and Broken Things"
"5",5,11.9470198675497,70.9677419354839,58.9656488262021,4,"The Wolf and the Lion"
"6",6,10.9403973509934,64.5161290322581,42.5097959832854,5,"A Golden Crown"
"7",7,13.8013245033113,58.0645161290323,54.3300159454555,4,"You Win or You Die"
"8",8,18.0662251655629,96.7741935483871,47.8650382709595,1,"The Pointy End"
"9",9,11.9470198675497,74.1935483870968,50.2854660240068,1,"Baelor"
"10",10,13.8543046357616,90.3225806451613,46.8526218322662,1,"Fire and Blood"
"11",11,11.4701986754967,67.741935483871,54.5963321604278,4,"The North Remembers"
"12",12,8.21192052980132,45.1612903225806,55.7464809354686,4,"The Night Lands"
"13",13,9.05960264900662,64.5161290322581,55.0250599159649,4,"What Is Dead May Never Die"
"14",14,12.0794701986755,74.1935483870968,52.249200075287,1,"Garden of Bones"
"15",15,11.0728476821192,77.4193548387097,52.25876739797,1,"The Ghost of Harrenhal"
"16",16,18.5430463576159,54.8387096774194,53.2271274015349,4,"The Old Gods and the New"
"17",17,9.40397350993377,54.8387096774194,50.8990712524704,4,"A Man Without Honor"
"18",18,8.58278145695364,64.5161290322581,59.1578275943663,4,"The Prince of Winterfell"
"19",19,20.9006622516556,38.7096774193548,62.9946370133588,2,"Blackwater"
"20",20,17.2715231788079,58.0645161290323,47.4433774345859,5,"Valar Morghulis"
"21",21,11.6556291390728,70.9677419354839,61.1702224456713,4,"Valar Dohaeris"
"22",22,15.4437086092715,58.0645161290323,49.0348213912523,4,"Dark Wings, Dark Words"
"23",23,13.9072847682119,61.2903225806452,50.9373251606967,4,"Walk of Punishment"
"24",24,15.7880794701987,54.8387096774194,47.2845131641561,5,"And Now His Watch Is Ended"
"25",25,10.9139072847682,74.1935483870968,53.9484617461933,1,"Kissed by Fire"
"26",26,8.13245033112583,67.741935483871,49.958775043855,4,"The Climb"
"27",27,12.0264900662252,74.1935483870968,48.9390552277641,1,"The Bear and the Maiden Fair"
"28",28,18.1192052980132,41.9354838709677,63.5192095960029,2,"Second Sons"
"29",29,35.8940397350993,48.3870967741936,41.913376951083,5,"The Rains of Castamere"
"30",30,16,64.5161290322581,58.4190639651356,4,"Mhysa"
"31",31,15.5761589403974,67.741935483871,51.5172563314688,4,"Two Swords"
"32",32,76,64.5161290322581,64.4590231418204,7,"The Lion and the Rose"
"33",33,22.0397350993377,67.741935483871,56.7239499649839,4,"Breaker of Chains"
"34",34,12.3708609271523,45.1612903225806,42.2198392745377,5,"Oathkeeper"
"35",35,17.3245033112583,51.6129032258064,55.0077044409571,4,"First of His Name"
"36",36,24.7417218543046,51.6129032258064,70.9440057266144,2,"The Laws of Gods and Men"
"37",37,7.20529801324503,51.6129032258064,59.438461862136,4,"Mockingbird"
"38",38,15.4701986754967,70.9677419354839,54.3693094769668,1,"The Mountain and the Viper"
"39",39,17.3509933774834,12.9032258064516,41.3272138638944,3,"The Watchers on the Wall"
"40",40,14.9139072847682,54.8387096774194,57.3544745486221,4,"The Children"
"41",41,19.7086092715232,64.5161290322581,54.6802282758733,4,"The Wars to Come"
"42",42,18.7814569536424,83.8709677419355,45.3076722548938,1,"The House of Black and White"
"43",43,16.7152317880795,70.9677419354839,54.0418569991805,1,"High Sparrow"
"44",44,11.7615894039735,64.5161290322581,58.2515907408406,4,"Sons of the Harpy"
"45",45,19.4172185430464,45.1612903225806,51.3799736229839,4,"Kill the Boy"
"46",46,12.0529801324503,61.2903225806452,59.6950576804543,4,"Unbowed, Unbent, Unbroken"
"47",47,12.4238410596026,64.5161290322581,51.6078715212952,4,"The Gift"
"48",48,12.0794701986755,35.4838709677419,40.1013432954455,3,"Hardhome"
"49",49,24.5827814569536,61.2903225806452,47.078238188218,5,"The Dance of Dragons"
"50",50,14.0132450331126,77.4193548387097,47.232685831305,1,"Mother's Mercy"
"51",51,14.3841059602649,67.741935483871,39.3226862908943,5,"The Red Woman"
"52",52,15.9205298013245,61.2903225806452,43.8069559080728,5,"Home"
"53",53,20.6092715231788,70.9677419354839,39.2070295133794,5,"Oathbreaker"
"54",54,20.5298013245033,51.6129032258064,38.4623387087873,5,"Book of the Stranger"
"55",55,33.8278145695364,41.9354838709677,29.4485766330986,3,"The Door"
"56",56,34.3841059602649,64.5161290322581,37.0929086386304,5,"Blood of My Blood"
"57",57,11.7615894039735,45.1612903225806,51.8344563140194,4,"The Broken Man"
"58",58,11.8940397350993,48.3870967741936,47.8395895220092,5,"No One"
